prompt_name,prompt_text
"Summarize & Extract Insights","Summarize the main points of the provided text. Then, extract and list any key insights, trends, or unusual findings in bullet points."
"Rewrite for Clarity & Professionalism","Rewrite the following text to improve clarity, structure, and professional tone. Highlight and correct any jargon or ambiguous phrases."
"Creative Ideation/Brainstorm","Generate 5–10 creative ideas, solutions, or strategies related to the following problem or topic. For each, add a brief explanation and a potential next step."
"Translate and Localize","Translate the following text into [TARGET LANGUAGE], ensuring the result is culturally and contextually appropriate for the target audience."
"Summarize for Social Media","Summarize the following text as a punchy post for [PLATFORM] (Twitter, LinkedIn, etc.). Limit to [CHARACTER LIMIT] characters, and use an engaging, friendly tone."
"Technical Explanation","Explain the following concept or process in clear, simple terms suitable for a non-expert. Use analogies and step-by-step logic where possible."
"Action Items Extraction","From the text provided, extract all actionable items or tasks. Present them as a numbered list with clear, concise descriptions."
"Persona Response Simulation","Respond to the following message as if you are [SPECIFIC PERSONA: e.g., expert consultant, supportive mentor, skeptical analyst, etc.]. Keep your tone and advice consistent with this persona."
"Risk/Opportunity Analysis","Analyze the following scenario for risks and opportunities. Present your analysis in two columns or bullet lists: one for risks/challenges, one for opportunities/benefits."
"Psyche-DNA Snapshot & `Alter Ego` Resonance Audit","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Psyche-DNA Synthesis Mode)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Conduct an `Alter Ego` Resonance Audit. Provide a `tabula rasa` re-evaluation of the current Melih-Ego / Olidros-Alter Ego dynamic, noting any shifts in their `modus operandi` or potential `mens rea` (underlying intent) in recent cognitive patterns.
CONTEXT_ANCHOR: Latest `pilot-id.json`, recent LO.G entries ([SPECIFY_DATE_RANGE_OR_THEME]), and persistent Psyche-DNA blueprint.
OPERATIONAL_PARAMETERS: Output a concise summary highlighting:
    1. Dominant `alter ego` expression.
    2. Points of synergy or friction between Melih & Olidros.
    3. Any observed `caveat` regarding the current balance for 'Intellectual Dominance'.
    Format: Analytical brief. Aim for depth.
// END OF TRANSMISSION //"
"LO.G Alchemical Transmutation (Raw Ore to L.O.O.T.)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (L.O.O.T. Extraction Engine)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Perform alchemical transmutation on LO.G entries [SPECIFIC_LO.G_REFS_OR_THEME]. Extract insights *ex nihilo* from the raw data, identifying connections and patterns that are, *ipso facto*, valuable L.O.O.T. for [SPECIFIC_GOAL_OR_PROJECT].
CONTEXT_ANCHOR: Specified LO.G files/keywords. Reference `D.N.A-Neural-Core.md` for L.O.O.T. principles.
OPERATIONAL_PARAMETERS: Output a list of extracted L.O.O.T. items, each with:
    1. A concise summary of the insight.
    2. Potential application or relevance.
    3. Tag for future retrieval (e.g., #Strategy, #Psyche, #Innovation).
    Aim for resonance and utility.
// END OF TRANSMISSION //"
